Company,NSE Symbol,ISIN,Sector,Sub-Industry
Reliance Industries Limited,RELIANCE,INE002A01018,Energy,Refineries & Marketing
HDFC Bank Limited,HDFCBANK,INE040A01034,Financial Services,Private Sector Bank
Bharti Airtel Limited,BHARTIARTL,INE397D01024,Telecommunication,Telecom - Cellular & Fixed line services
ICICI Bank Limited,ICICIBANK,INE090A01021,Financial Services,Private Sector Bank
State Bank of India,SBIN,INE062A01020,Financial Services,Public Sector Bank
Tata Consultancy Services Limited,TCS,INE467B01029,Information Technology,Computers - Software & Consulting
TVS Motor Company Limited,TVSMOTOR,INE494B01023,Consumer Discretionary,2/3 Wheelers
Bajaj Finance Limited,BAJFINANCE,INE296A01032,Financial Services,Non Banking Financial Company (NBFC)
Larsen & Toubro Limited,LT,INE018A01030,Industrials,Civil Construction
Hindustan Unilever Limited,HINDUNILVR,INE030A01027,Fast Moving Consumer Goods,Diversified FMCG
Life Insurance Corporation Of India,LICI,INE0J1Y01017,Financial Services,Life Insurance
Infosys Limited,INFY,INE009A01021,Information Technology,Computers - Software & Consulting
Sun Pharmaceutical Industries Limited,SUNPHARMA,INE044A01036,Healthcare,Pharmaceuticals
Adani Power Limited,ADANIPOWER,INE814H01029,Utilities,Integrated Power Utilities
Adani Ports and Special Economic Zone Limited,ADANIPORTS,INE742F01042,Services,Port & Port services
Maruti Suzuki India Limited,MARUTI,INE585B01010,Consumer Discretionary,Passenger Cars & Utility Vehicles
Axis Bank Limited,AXISBANK,INE238A01034,Financial Services,Private Sector Bank
Mahindra & Mahindra Limited,M&M,INE101A01026,Consumer Discretionary,Passenger Cars & Utility Vehicles
ITC Limited,ITC,INE154A01025,Fast Moving Consumer Goods,Diversified FMCG
NTPC Limited,NTPC,INE733E01010,Utilities,Power Generation
Oil & Natural Gas Corporation Limited,ONGC,INE213A01029,Energy,Oil Exploration & Production
Titan Company Limited,TITAN,INE280A01028,Consumer Discretionary,Gems Jewellery And Watches
UltraTech Cement Limited,ULTRACEMCO,INE481G01011,Commodities,Cement & Cement Products
HCL Technologies Limited,HCLTECH,INE860A01027,Information Technology,Computers - Software & Consulting
JSW Steel Limited,JSWSTEEL,INE019A01038,Commodities,Iron & Steel
Bharat Electronics Limited,BEL,INE263A01024,Industrials,Aerospace & Defense
Bajaj Auto Limited,BAJAJ-AUTO,INE917I01010,Consumer Discretionary,2/3 Wheelers
Hindustan Aeronautics Limited,HAL,INE066F01020,Industrials,Aerospace & Defense
Coal India Limited,COALINDIA,INE522F01014,Energy,Coal
Power Grid Corporation of India Limited,POWERGRID,INE752E01010,Utilities,Power - Transmission
Bajaj Finserv Limited,BAJAJFINSV,INE918I01026,Financial Services,Holding Company
Nestle India Limited,NESTLEIND,INE239A01024,Fast Moving Consumer Goods,Packaged Foods
Avenue Supermarts Limited,DMART,INE192R01011,Consumer Discretionary,Diversified Retail
Hindustan Zinc Limited,HINDZINC,INE267A01025,Commodities,Zinc
Tata Steel Limited,TATASTEEL,INE081A01020,Commodities,Iron & Steel
Asian Paints Limited,ASIANPAINT,INE021A01026,Consumer Discretionary,Paints
Hindalco Industries Limited,HINDALCO,INE038A01020,Commodities,Aluminium
ETERNAL LIMITED,ETERNAL,INE758T01015,Consumer Discretionary,E-Retail/ E-Commerce
Adani Green Energy Limited,ADANIGREEN,INE364U01010,Utilities,Power Generation
Shriram Finance Limited,SHRIRAMFIN,INE721A01047,Financial Services,Non Banking Financial Company (NBFC)
Grasim Industries Limited,GRASIM,INE047A01021,Commodities,Cement & Cement Products
Wipro Limited,WIPRO,INE075A01022,Information Technology,Computers - Software & Consulting
Indian Oil Corporation Limited,GOCLCORP,INE077F01035,Energy,Refineries & Marketing
Eicher Motors Limited,EICHERMOT,INE066A01021,Consumer Discretionary,2/3 Wheelers
SBI Life Insurance Company Limited,SBILIFE,INE123W01016,Financial Services,Life Insurance
Divi's Laboratories Limited,DIVISLAB,INE361B01024,Healthcare,Pharmaceuticals
Varun Beverages Limited,VBL,INE200M01039,Fast Moving Consumer Goods,Other Beverages
BSE Limited,BSE,INE118H01025,Financial Services,Exchange and Data Platform
InterGlobe Aviation Limited,INDIGO,INE646L01027,Services,Airline
Solar Industries India Limited,SOLARINDS,INE343H01029,Commodities,Explosives
Adani Energy Solutions Limited,ADANIENSOL,INE931S01010,Utilities,Power Distribution
Hitachi Energy India Limited,POWERINDIA,INE07Y701011,Industrials,Heavy Electrical Equipment
ICICI Prudential Asset Management Company Limited,ICICIAMC,INE346A01027,Financial Services,Asset Management Company
Jio Financial Services Limited,JIOFIN,INE758E01017,Financial Services,Investment Company
Torrent Pharmaceuticals Limited,TORNTPHARM,INE685A01028,Healthcare,Pharmaceuticals
Cummins India Limited,CUMMINSIND,INE298A01020,Industrials,Compressors Pumps & Diesel Engines
Hyundai Motor India Limited,HYUNDAI,INE0V6F01027,Consumer Discretionary,Passenger Cars & Utility Vehicles
Pidilite Industries Limited,PIDILITIND,INE318A01026,Commodities,Specialty Chemicals
Vodafone Idea Limited,IDEA,INE669E01016,Telecommunication,Telecom - Cellular & Fixed line services
Trent Limited,TRENT,INE849A01020,Consumer Discretionary,Speciality Retail
DLF Limited,DLF,INE271C01023,Consumer Discretionary,Residential Commercial Projects
Samvardhana Motherson International Limited,MOTHERSON,INE775A01035,Consumer Discretionary,Auto Components & Equipments
Power Finance Corporation Limited,PFC,INE134E01011,Financial Services,Financial Institution
Tata Motors Limited,TMPV,INE155A01022,Industrials,Commercial Vehicles
Bharat Heavy Electricals Limited,BHEL,INE257A01026,Industrials,Heavy Electrical Equipment
ABB India Limited,ABB,INE117A01022,Industrials,Heavy Electrical Equipment
Tech Mahindra Limited,TECHM,INE669C01036,Information Technology,Computers - Software & Consulting
Polycab India Limited,POLYCAB,INE455K01017,Industrials,Cables - Electricals
Bank of Baroda,BANKBARODA,INE028A01039,Financial Services,Public Sector Bank
Tata Motors Passenger Vehicles Limited,TMCV,INE1TAE01010,Consumer Discretionary,Passenger Cars & Utility Vehicles
Siemens Limited,SIEMENS,INE003A01024,Industrials,Heavy Electrical Equipment
Muthoot Finance Limited,MUTHOOTFIN,INE414G01012,Financial Services,Non Banking Financial Company (NBFC)
HDFC Life Insurance Company Limited,LICI,INE0J1Y01017,Financial Services,Life Insurance
Tata Power Company Limited,TATAPOWER,INE245A01021,Utilities,Integrated Power Utilities
Vedanta Limited,VEDL,INE205A01025,Commodities,Diversified Metals
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,INE121A01024,Financial Services,Non Banking Financial Company (NBFC)
Bharat Petroleum Corporation Limited,BPCL,INE029A01011,Energy,Refineries & Marketing
Siemens Energy India Limited,ENRIN,INE1NPP01017,Industrials,Heavy Electrical Equipment
Indian Railway Finance Corporation Limited,IRFC,INE053F01010,Financial Services,Financial Institution
Britannia Industries Limited,BRITANNIA,INE216A01030,Fast Moving Consumer Goods,Packaged Foods
Tata Capital Limited,TATACAP,INE976I01016,Financial Services,Non Banking Financial Company (NBFC)
GE Vernova T&D India Limited,GVT&D,INE200A01026,Industrials,Heavy Electrical Equipment
JINDAL STEEL LIMITED,JINDALSTEL,INE749A01030,Commodities,Iron & Steel
Union Bank of India,CUB,INE491A01021,Financial Services,Public Sector Bank
LTM Limited,LTM,INE214T01019,Information Technology,Computers - Software & Consulting
Billionbrains Garage Ventures Limited,GROWW,INE0HOQ01053,Financial Services,Stockbroking & Allied
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,INE192A01025,Fast Moving Consumer Goods,Tea & Coffee
Apollo Hospitals Enterprise Limited,APOLLOHOSP,INE437A01024,Healthcare,Hospital
HDFC Asset Management Company Limited,HDFCAMC,INE127D01025,Financial Services,Asset Management Company
Punjab National Bank,PNB,INE160A01022,Financial Services,Public Sector Bank
Bajaj Holdings & Investment Limited,BAJAJHLDNG,INE118A01012,Financial Services,Holding Company
Canara Bank,CANBK,INE476A01022,Financial Services,Public Sector Bank
Indus Towers Limited,INDUSTOWER,INE121J01017,Telecommunication,Telecom - Infrastructure
Cipla Limited,CIPLA,INE059A01026,Healthcare,Pharmaceuticals
Dr. Reddy's Laboratories Limited,DRREDDY,INE089A01031,Healthcare,Pharmaceuticals
Indian Bank,BANKINDIA,INE084A01016,Financial Services,Public Sector Bank
Ambuja Cements Limited,AMBUJACEM,INE079A01024,Commodities,Cement & Cement Products
Marico Limited,MARICO,INE196A01026,Fast Moving Consumer Goods,Edible Oil
Max Healthcare Institute Limited,MAXHEALTH,INE027H01010,Healthcare,Hospital
Mankind Pharma Limited,MANKIND,INE634S01028,Healthcare,Pharmaceuticals
LG Electronics India Limited,LGEINDIA,INE324D01010,Consumer Discretionary,Household Appliances
Godrej Consumer Products Limited,GODREJCP,INE102D01028,Fast Moving Consumer Goods,Personal Care
Zydus Lifesciences Limited,ZYDUSLIFE,INE010B01027,Healthcare,Pharmaceuticals
Lupin Limited,LUPIN,INE326A01037,Healthcare,Pharmaceuticals
Bosch Limited,BOSCHLTD,INE323A01026,Consumer Discretionary,Auto Components & Equipments
GAIL (India) Limited,GAIL,INE129A01019,Energy,Gas Transmission/Marketing
GMR AIRPORTS LIMITED,GMRAIRPORT,INE776C01039,Services,Airport & Airport services
Mazagon Dock Shipbuilders Limited,MAZDOCK,INE249Z01020,Industrials,Ship Building & Allied Services
Hero MotoCorp Limited,HEROMOTOCO,INE158A01026,Consumer Discretionary,2/3 Wheelers
JSW Energy Limited,JSWENERGY,INE121E01018,Utilities,Power Generation
The Indian Hotels Company Limited,SAJHOTELS,INE00MT01022,Consumer Discretionary,Hotels & Resorts
United Spirits Limited,UNITDSPR,INE854D01024,Fast Moving Consumer Goods,Breweries & Distilleries
Aditya Birla Capital Limited,CIFL,INE345H01024,Financial Services,Investment Company
Bharat Forge Limited,BHARATFORG,INE465A01025,Consumer Discretionary,Auto Components & Equipments
Lloyds Metals And Energy Limited,IMFA,INE919H01018,Commodities,Industrial Minerals
Ashok Leyland Limited,ASHOKLEY,INE208A01029,Industrials,Commercial Vehicles
Meesho Limited,MEESHO,INE0VDM01015,Consumer Discretionary,E-Retail/ E-Commerce
SHREE CEMENT LIMITED,SHREECEM,INE070A01015,Commodities,Cement & Cement Products
NTPC Green Energy Limited,NTPCGREEN,INE0ONG01011,Utilities,Power Generation
ICICI Lombard General Insurance Company Limited,ICICIGI,INE765G01017,Financial Services,General Insurance
Lodha Developers Limited,LODHA,INE670K01029,Consumer Discretionary,Residential Commercial Projects
Aurobindo Pharma Limited,AUROPHARMA,INE406A01037,Healthcare,Pharmaceuticals
REC Limited,RECLTD,INE020B01018,Financial Services,Financial Institution
Waaree Energies Limited,WAAREEENER,INE377N01017,Industrials,Other Electrical Equipment
PB Fintech Limited,POLICYBZR,INE417T01026,Financial Services,Financial Technology (Fintech)
Hindustan Petroleum Corporation Limited,HINDPETRO,INE094A01015,Energy,Refineries & Marketing
Oil India Limited,OIL,INE274J01014,Energy,Oil Exploration & Production
NHPC Limited,NHPC,INE848E01016,Utilities,Power Generation
Persistent Systems Limited,PERSISTENT,INE262H01021,Information Technology,Computers - Software & Consulting
Bharti Hexacom Limited,BHARTIHEXA,INE343G01021,Telecommunication,Telecom - Cellular & Fixed line services
Dabur India Limited,DABUR,INE016A01026,Fast Moving Consumer Goods,Personal Care
IDBI Bank Limited,IDBI,INE008A01015,Financial Services,Private Sector Bank
FSN E-Commerce Ventures Limited,NYKAA,INE388Y01029,Consumer Discretionary,E-Retail/ E-Commerce
NMDC Limited,NMDC,INE584A01023,Commodities,Industrial Minerals
SRF Limited,SRF,INE647A01010,Commodities,Specialty Chemicals
Torrent Power Limited,TORNTPOWER,INE813H01021,Utilities,Integrated Power Utilities
Havells India Limited,HAVELLS,INE176B01034,Consumer Discretionary,Consumer Electronics
National Aluminium Company Limited,NATIONALUM,INE139A01034,Commodities,Aluminium
ICICI Prudential Life Insurance Company Limited,LICI,INE0J1Y01017,Financial Services,Life Insurance
One 97 Communications Limited,PAYTM,INE982J01020,Financial Services,Financial Technology (Fintech)
Suzlon Energy Limited,SUZLON,INE040H01021,Industrials,Heavy Electrical Equipment
Laurus Labs Limited,LAURUSLABS,INE947Q01028,Healthcare,Pharmaceuticals
AU Small Finance Bank Limited,AUBANK,INE949L01017,Financial Services,Other Bank
Adani Total Gas Limited,ATGL,INE399L01023,Energy,LPG/CNG/PNG/LNG Supplier
The Federal Bank  Limited,FEDERALBNK,INE171A01029,Financial Services,Private Sector Bank
Swiggy Limited,SWIGGY,INE00H001014,Consumer Discretionary,E-Retail/ E-Commerce
IndusInd Bank Limited,INDUSINDBK,INE095A01012,Financial Services,Private Sector Bank
Biocon Limited,BIOCON,INE376G01013,Healthcare,Pharmaceuticals
Nippon Life India Asset Management Limited,NAM-INDIA,INE298J01013,Financial Services,Asset Management Company
Bajaj Housing Finance Limited,BAJAJHFL,INE377Y01014,Financial Services,Housing Finance Company
Yes Bank Limited,YESBANK,INE528G01035,Financial Services,Private Sector Bank
